id,text,label_text
1,"I already made a transfer and want to cancel it, how do I do that?",cancel_transfer
2,I don't think I made this payment that is showing up,card_payment_not_recognised
3,"You seem to forget there are so called ""rights"" that contradict each other. More than a  few  years back, a store would carry the sign ""We reserve the right to refuse service to ...."". The law then changed so that the customer had the ""right"" to service.

So ""rights"" of the private owner, were taken away, while ""rights"" were given to the customer.

So in effect, the government is the one who defines the ""rights"" of citizens down to the most minute detail. That might be more scary, then ""if you don't like the store, or company to work for, go to another store or company"".",not toxic
4,play the fifty songs i listen to most often,play_music
5,please make the smart socket turn off,iot
6,fifty thousand two hundred and seventeenth,datetime
7,i don't need light,iot
8,list all of my upcoming alarms,alarm
9,"Um, no, actually, it isn't irrelevant.

Marriage is not between one man and one woman because the Church says so.  The Church teaches that marriage is between one man and one woman, because, marriage, by definition, by it's very nature, is a commitment between one man and one woman.  The Church teaches what manifestly IS.  The Church does not create reality with her teaching, church teaching is based on the nature of reality.  Gay marriage, is, by definition, an oxymoron.  

The Constitution, so far as I am aware (and I admit I am no elitist lawyer with a fancy degree from an elitist school) does not grant any of the three branches of government the power to redefine reality based on the whims of pop-culture. Can you show me where the Constitution grants any of the three branches of government the power to altar reality based on cultural whims, trends, fads, fashions and the like?",not toxic
10,"Nowadays the buzz word for Sessions' ideology, much like Justice Gorsuch, is ""originalism"". 

Livin' life like it was 1795!!",not toxic
11,(veracity),not toxic
12,i need you to set an alarm,alarm_set
13,what are the lyrics to this song,music
14,Why does it cost more to pay with my card?,card_payment_fee_charged
15,get latest news report on kidnapping in ny,news_query
16,please turn off the light,iot_hue_lightoff
17,"Dave, you should realize that this movement is an attempt to castrate the Electoral College. It is a hack; a bad solution to a real problem. Unfortunately because the Electoral College is so entrenched in our system, there is no good way to dig it out. This is why I support this effort, while holding my nose.",not toxic
18,Have you sent out my card yet?,card_arrival
19,how hot is today,weather_query
20,Can I use my account even though the identity verification has not passed yet?,why_verify_identity
21,what's the date today,datetime_query
22,please unmute the settings,audio
23,list all the alarms,alarm_query
24,"This is to be expected. First the ramming and then denial of responsibility. Was there any video of the incident? Or pictures of the approach? 
I would report the incident first to the Coast Guard as and accident (Collision) report with extenuating circumstances leading to the ramming by the police boat. In future record all communications on a recorder and have video cams always running when needed.
It is obvious that the Police vessel made a very bad decision resulting in damages. They should be held to account either monetarily and a public admission of responsibility in this breach of maritime regulation on the river. 
What were they thinking? Would be interesting to know. I see the rebuttal make little sense given the situation. I would push it. Make them apologist and pay for the damages. As long as it doesn't interfere with the scheduled. 
Someone out there may have a video of this. Try to find them.",not toxic
25,could you please turn on the plug,iot_wemo_on
